idx,region,scene_id,severity_bin,q1_raw,q1_pred,q2_raw,q2_pred,q3_raw,q3_pred
47,247,S2_2019-03-27,1,Yes,1,Mild,1,Low,1
48,225,S2_2019-04-08,1,Yes,1,Mild,1,Low,1
49,170,S2_2019-02-02,1,No,0,Mild,1,Low,1
50,301,S2_2019-03-15,2,No,0,None,0,Low,1
51,305,S2_2019-01-09,2,No,0,Mild,1,Low,1
52,305,S2_2019-03-15,2,No,0,Mild,1,Low,1
53,313,S2_2019-01-09,2,No,0,Mild,1,Low,1
54,313,S2_2019-02-13,2,No,0,Mild,1,Low,1
55,313,S2_2019-02-28,2,No,0,Mild,1,Low,1
56,313,S2_2019-03-15,2,No,0,Mild,1,Low,1
57,321,S2_2019-01-09,2,No,0,Mild,1,Low,1
58,321,S2_2019-02-13,2,Yes,1,Mild,1,Low,1
59,321,S2_2019-02-28,2,Yes,1,Mild,1,Low,1
60,236,S2_2019-04-23,2,Yes,1,Mild,1,Low,1
61,233,S2_2019-03-22,2,Yes,1,Mild,1,Low,1
62,56,S2_2019-02-28,2,No,0,Mild,1,Low,1
63,230,S2_2019-04-23,2,Yes,1,Mild,1,Low,1
64,89,S2_2019-02-14,2,Yes,1,Mild,1,Low,1
65,234,S2_2019-03-19,2,No,0,Mild,1,Low,1
66,234,S2_2019-04-23,2,Yes,1,Mild,1,Low,1
67,236,S2_2019-03-22,2,Yes,1,Mild,1,Low,1
68,230,S2_2019-04-21,2,No,0,Mild,1,Low,1
69,126,S2_2018-12-17,2,No,0,Mild,1,Low,1
70,174,S2_2019-02-02,2,No,0,Mild,1,Low,1
71,233,S2_2019-03-27,2,Yes,1,Mild,1,Low,1
72,236,S2_2019-03-09,2,Yes,1,Mild,1,Low,1
73,89,S2_2018-12-26,2,Yes,1,Mild,1,Low,1
74,56,S2_2019-01-09,2,Yes,1,Mild,1,Low,1
75,301,S2_2019-01-09,3,No,0,Mild,1,Low,1
76,301,S2_2019-02-13,3,No,0,Mild,1,Low,1
77,301,S2_2019-02-28,3,No,0,Mild,1,High,3
78,305,S2_2019-02-13,3,No,0,Mild,1,Low,1
79,305,S2_2019-02-28,3,No,0,Mild,1,Low,1
80,306,S2_2019-01-09,3,No,0,None,0,Low,1
81,306,S2_2019-02-13,3,No,0,Mild,1,Low,1
82,306,S2_2019-02-28,3,No,0,Mild,1,Low,1
83,306,S2_2019-03-15,3,No,0,None,0,High,3
84,307,S2_2019-01-09,3,No,0,None,0,Low,1
85,307,S2_2019-02-13,3,No,0,Mild,1,Low,1
86,307,S2_2019-02-28,3,No,0,Mild,1,Low,1
87,307,S2_2019-03-15,3,No,0,Mild,1,Low,1
88,308,S2_2019-01-09,3,No,0,Mild,1,Low,1
89,308,S2_2019-02-13,3,No,0,Mild,1,Low,1
90,308,S2_2019-02-28,3,No,0,None,0,Low,1
91,308,S2_2019-03-15,3,No,0,Mild,1,Low,1
92,298,S2_2019-03-15,3,Yes,1,Mild,1,Low,1
93,6,S2_2018-12-17,3,No,0,Mild,1,None,0
94,231,S2_2019-04-23,3,Yes,1,Mild,1,Low,1
95,231,S2_2019-04-21,3,Yes,1,Mild,1,Low,1
96,232,S2_2019-04-21,3,Yes,1,Mild,1,Low,1
97,5,S2_2019-01-04,3,No,0,None,0,None,0
98,7,S2_2018-12-28,3,No,0,Mild,1,None,0
99,234,S2_2019-03-27,3,Yes,1,Mild,1,Low,1
